Severity	Code	Description	Project	File	Line	Suppression State
Error (active)	CS7036	There is no argument given that corresponds to the required parameter 'data' of 'DatabaseTransactionStep<PrescriptionTransactionContext>.CreateFailureResult(Exception, Dictionary<string, object>, string)'	LYBT.Module.Prescriptions	D:\source\repos\LYBTZYZS\src\Server\Modules\LYBT.Module.Prescriptions\Transactions\Steps\ValidatePrerequisitesStep.cs	81	
Error (active)	CS7036	There is no argument given that corresponds to the required parameter 'data' of 'DatabaseTransactionStep<PrescriptionTransactionContext>.CreateFailureResult(Exception, Dictionary<string, object>, string)'	LYBT.Module.Prescriptions	D:\source\repos\LYBTZYZS\src\Server\Modules\LYBT.Module.Prescriptions\Transactions\Steps\ValidatePrerequisitesStep.cs	88	
Error (active)	CS7036	There is no argument given that corresponds to the required parameter 'data' of 'DatabaseTransactionStep<PrescriptionTransactionContext>.CreateFailureResult(Exception, Dictionary<string, object>, string)'	LYBT.Module.Prescriptions	D:\source\repos\LYBTZYZS\src\Server\Modules\LYBT.Module.Prescriptions\Transactions\Steps\ValidatePrerequisitesStep.cs	102	
Error (active)	CS7036	There is no argument given that corresponds to the required parameter 'data' of 'DatabaseTransactionStep<PrescriptionTransactionContext>.CreateFailureResult(Exception, Dictionary<string, object>, string)'	LYBT.Module.Prescriptions	D:\source\repos\LYBTZYZS\src\Server\Modules\LYBT.Module.Prescriptions\Transactions\Steps\ValidatePrerequisitesStep.cs	109	
Error (active)	CS7036	There is no argument given that corresponds to the required parameter 'data' of 'DatabaseTransactionStep<PrescriptionTransactionContext>.CreateFailureResult(Exception, Dictionary<string, object>, string)'	LYBT.Module.Prescriptions	D:\source\repos\LYBTZYZS\src\Server\Modules\LYBT.Module.Prescriptions\Transactions\Steps\ValidatePrerequisitesStep.cs	116	
Error (active)	CS7036	There is no argument given that corresponds to the required parameter 'data' of 'DatabaseTransactionStep<PrescriptionTransactionContext>.CreateFailureResult(Exception, Dictionary<string, object>, string)'	LYBT.Module.Prescriptions	D:\source\repos\LYBTZYZS\src\Server\Modules\LYBT.Module.Prescriptions\Transactions\Steps\ValidatePrerequisitesStep.cs	133	
Error (active)	CS7036	There is no argument given that corresponds to the required parameter 'data' of 'DatabaseTransactionStep<PrescriptionTransactionContext>.CreateFailureResult(Exception, Dictionary<string, object>, string)'	LYBT.Module.Prescriptions	D:\source\repos\LYBTZYZS\src\Server\Modules\LYBT.Module.Prescriptions\Transactions\Steps\ValidatePrerequisitesStep.cs	143	
Error (active)	CS7036	There is no argument given that corresponds to the required parameter 'data' of 'DatabaseTransactionStep<PrescriptionTransactionContext>.CreateFailureResult(Exception, Dictionary<string, object>, string)'	LYBT.Module.Prescriptions	D:\source\repos\LYBTZYZS\src\Server\Modules\LYBT.Module.Prescriptions\Transactions\Steps\ValidatePrerequisitesStep.cs	151	
Error (active)	CS7036	There is no argument given that corresponds to the required parameter 'data' of 'DatabaseTransactionStep<PrescriptionTransactionContext>.CreateFailureResult(Exception, Dictionary<string, object>, string)'	LYBT.Module.Prescriptions	D:\source\repos\LYBTZYZS\src\Server\Modules\LYBT.Module.Prescriptions\Transactions\Steps\ValidatePrerequisitesStep.cs	169	
Error (active)	CS7036	There is no argument given that corresponds to the required parameter 'data' of 'DatabaseTransactionStep<PrescriptionTransactionContext>.CreateFailureResult(Exception, Dictionary<string, object>, string)'	LYBT.Module.Prescriptions	D:\source\repos\LYBTZYZS\src\Server\Modules\LYBT.Module.Prescriptions\Transactions\Steps\ValidatePrerequisitesStep.cs	179	
Error (active)	CS7036	There is no argument given that corresponds to the required parameter 'data' of 'DatabaseTransactionStep<PrescriptionTransactionContext>.CreateFailureResult(Exception, Dictionary<string, object>, string)'	LYBT.Module.Prescriptions	D:\source\repos\LYBTZYZS\src\Server\Modules\LYBT.Module.Prescriptions\Transactions\Steps\ValidatePrerequisitesStep.cs	195	
Error (active)	CS0165	Use of unassigned local variable 'diagnosisStr'	LYBT.Module.MedicalCase	D:\source\repos\LYBTZYZS\src\Server\Modules\LYBT.Module.MedicalCase\Transactions\Steps\InitializeConsultationStep.cs	269	
Error (active)	CS0165	Use of unassigned local variable 'principleStr'	LYBT.Module.MedicalCase	D:\source\repos\LYBTZYZS\src\Server\Modules\LYBT.Module.MedicalCase\Transactions\Steps\InitializeConsultationStep.cs	274	
